normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc
0.8611515709 0.8947176243 0.9582763783 0.8808024622 0.9700402013 1.021511076 1.100687128 0.8003314424 0.9437314423
0.8935162271 1.096512768 1.004331731 1.023003993 1.073957423 1.054698259 1.04443508 1.079049015 1.012953678
1.001956209 1.098930635 1.00639576 1.021014537 1.064129391 1.055334391 1.081934495 1.079608324 1.012953678
0.8248650687 0.8506456888 0.9626060098 0.8447014519 0.9390419456 1.001183343 1.101886969 0.7568184715 0.9240181417
0.8924839143 1.085325293 1.00441992 1.023052938 1.072707544 1.049419957 1.046512853 1.078139142 1.014063061
1.000678781 1.088773709 1.00647555 1.019531801 1.062142642 1.048626501 1.084866788 1.079362929 1.014063061
0.7946027481 0.8104375283 0.9551036949 0.8086781773 0.9058859376 0.9765201054 1.099575081 0.7244629996 0.9003404283
0.8920549624 1.072597748 1.004575299 1.02234468 1.070512482 1.042160296 1.045418364 1.076971126 1.015025614
0.9995380518 1.078182592 1.006635129 1.017867682 1.060190094 1.039600947 1.085943719 1.078405252 1.015025614
0.8364184874 0.9939966583 0.9712190789 0.9452856209 0.9922768639 1.049553339 0.8434178489 0.9085011792 0.9734998858
0.763826628 1.082631217 0.9878656932 1.016813933 1.02477995 1.055180488 0.8029802875 0.7666262987 1.01024004
0.8412312334 1.096656103 0.992642566 1.019249649 1.023197391 1.05834633 0.8223123566 0.7673385812 1.01024004
0.8211836244 0.9386650568 0.9613335769 0.9088333607 0.9685788994 1.039406003 0.8451795664 0.8403371789 0.9586537311
0.7638784793 1.064360678 0.9871916817 1.013975142 1.020094456 1.05680616 0.8051107365 0.76432373 1.011425557
0.8396097009 1.079819963 0.9914793188 1.01650299 1.009156456 1.060921639 0.8231785831 0.7649515584 1.011425557
0.8056329397 0.8944246763 0.9517252385 0.8809377798 0.9458198992 1.021299032 0.8458233834 0.7913267257 0.9437314423
0.7639774682 1.041176981 0.9861355204 1.012138277 1.01596861 0.9859081872 0.8063398417 0.7642918605 1.012953678
0.8382945627 1.058514272 0.9906730246 1.01394923 1.000124366 1.005833493 0.8243608653 0.7648798521 1.012953678
0.7844634566 0.8503328622 0.9559813796 0.8447446384 0.9167710824 1.001471768 0.8457121787 0.7483539423 0.9240181417
0.7633363973 1.023736112 0.9858751546 1.008588349 1.013042897 0.9693208661 0.8067963665 0.7640193766 1.014063061
0.8375874991 1.042056872 0.9902047861 1.007733257 0.9956347491 0.9917530803 0.8249461535 0.7645786857 1.014063061
0.7632656909 0.8101299329 0.948430771 0.8089372961 0.8834285252 0.9765736865 0.8449688627 0.717408694 0.9003404283
0.7625727686 1.005454064 0.9855182015 1.006783155 1.009464262 0.9488050289 0.80796109 0.7636767799 1.015031052
